"","<TYPE>","<TAS.SEQ>","<ACTIVITY.DATETIME>","<BID.PRICE>","<BID.SIZE>","<ASK.PRICE>","<ASK.SIZE>"
"1","Q","190581",2020-09-01 15:08:31.7042,46.78,8,46.82,4
"2","Q","190583",2020-09-01 15:08:32.3049,46.78,10,46.82,4
"3","Q","190585",2020-09-01 15:08:32.3049,46.78,10,46.82,3
"4","Q","190587",2020-09-01 15:08:32.3049,46.79,1,46.82,3
"5","Q","190589",2020-09-01 15:08:32.3173,46.78,12,46.82,3
"6","Q","190590",2020-09-01 15:08:32.3173,46.78,13,46.82,3
"7","Q","190592",2020-09-01 15:08:32.3173,46.78,10,46.82,3
"8","Q","190594",2020-09-01 15:08:32.7505,46.78,10,46.82,4
"9","Q","190596",2020-09-01 15:08:32.7562,46.78,8,46.82,4
"10","Q","190598",2020-09-01 15:08:32.7562,46.78,8,46.82,6
"11","Q","190600",2020-09-01 15:08:32.9466,46.78,8,46.82,8
"12","Q","190602",2020-09-01 15:08:32.9514,46.78,8,46.82,11
"13","Q","190604",2020-09-01 15:08:32.9514,46.78,5,46.82,11
"14","Q","190606",2020-09-01 15:08:32.9514,46.78,5,46.81,1
"15","Q","190608",2020-09-01 15:08:32.9514,46.78,4,46.81,1
"16","Q","190610",2020-09-01 15:08:33.5647,46.78,4,46.81,2
"17","Q","190612",2020-09-01 15:08:33.5647,46.78,3,46.81,2
"18","Q","190614",2020-09-01 15:08:33.5678,46.78,2,46.81,2
"19","Q","190616",2020-09-01 15:08:33.5823,46.78,2,46.81,3
"20","Q","190618",2020-09-01 15:08:34.4602,46.78,1,46.81,3
"21","Q","190620",2020-09-01 15:08:34.4602,46.77,11,46.81,3
"22","Q","190622",2020-09-01 15:08:34.4674,46.77,11,46.81,2
"23","Q","190624",2020-09-01 15:08:34.4741,46.78,1,46.81,2
"24","Q","190626",2020-09-01 15:08:34.4967,46.78,1,46.81,3
"25","Q","190628",2020-09-01 15:08:34.5011,46.78,1,46.81,2
"26","Q","190630",2020-09-01 15:08:34.5011,46.78,1,46.81,1
"27","Q","190632",2020-09-01 15:08:34.5084,46.78,1,46.82,15
"28","Q","190633",2020-09-01 15:08:34.5084,46.78,1,46.82,16
"29","Q","190635",2020-09-01 15:08:34.5084,46.77,15,46.82,16
"30","Q","190636",2020-09-01 15:08:34.5084,46.77,13,46.82,16
"31","Q","190638",2020-09-01 15:08:34.5184,46.77,13,46.81,1
"32","Q","190640",2020-09-01 15:08:34.5184,46.77,13,46.81,2
"33","Q","190642",2020-09-01 15:08:34.5613,46.77,15,46.81,2
"34","Q","190644",2020-09-01 15:08:34.5613,46.78,1,46.81,2
"35","Q","190646",2020-09-01 15:08:34.6399,46.78,1,46.81,1
"36","Q","190648",2020-09-01 15:08:34.6399,46.78,2,46.81,1
"37","Q","190650",2020-09-01 15:08:34.6399,46.78,3,46.81,1
"38","Q","190652",2020-09-01 15:08:34.6399,46.78,3,46.82,15
"39","Q","190653",2020-09-01 15:08:34.6399,46.78,3,46.82,16
"40","Q","190655",2020-09-01 15:08:34.6399,46.78,3,46.81,1
