"<TYPE>","<TICKER>","<TAS.SEQ>","<ACTIVITY.DATETIME>","<BID.PRICE>","<BID.SIZE>"
"Q","BZTF21",3,2020-08-31 23:45:10.4066,-0.75,1
"Q","BZTF21",5,2020-08-31 23:45:10.4066,-0.75,1
"Q","BZTF21",7,2020-08-31 23:48:26.1087,-0.75,1
"Q","BZTF21",8,2020-08-31 23:48:26.1087,-0.75,1
"Q","BZTF21",15,2020-09-01 00:15:34.117,-0.75,1
"Q","BZTF21",17,2020-09-01 00:15:34.117,-1,600
"Q","BZTF21",19,2020-09-01 11:22:34.502,-1,600
"Q","BZTF21",21,2020-09-01 12:06:02.2632,-0.75,100
"Q","BZTF21",23,2020-09-01 12:06:03.6995,-0.75,100
"Q","BZTF21",25,2020-09-01 12:06:05.8257,-0.5,50
"Q","BZTF21",27,2020-09-01 12:06:07.8362,-0.5,50
"Q","BZTF21",29,2020-09-01 12:06:10.3018,-0.25,25
"Q","BZTF21",31,2020-09-01 12:06:11.5507,-0.25,25
"Q","BZTF21",33,2020-09-01 13:00:00.0192,-0.25,25
"Q","BZTF21",35,2020-09-01 13:33:16.2913,-0.25,25
"Q","BZTF21",37,2020-09-01 13:34:06.1804,-0.25,25
"Q","BZTF21",39,2020-09-01 13:44:05.1474,-0.25,25
"Q","BZTF21",41,2020-09-01 13:52:32.2254,-0.25,25
"Q","BZTF21",43,2020-09-01 13:53:58.7755,-0.25,25
"Q","BZTF21",45,2020-09-01 13:53:58.7755,-0.25,25
"Q","BZTF21",47,2020-09-01 13:53:58.7755,-0.25,25
"Q","BZTF21",49,2020-09-01 13:54:10.7549,-0.25,25
"Q","BZTF21",51,2020-09-01 14:09:53.3004,-0.25,25
"Q","BZTF21",53,2020-09-01 14:43:57.0654,-0.25,25
"Q","BZTF21",55,2020-09-01 14:48:43.8712,-0.25,25
"Q","BZTF21",57,2020-09-01 14:58:30.8979,-0.25,25
"Q","BZTF21",59,2020-09-01 15:01:39.4504,-0.25,25
"Q","BZTF21",61,2020-09-01 15:02:45.4459,-0.25,25
"Q","BZTF21",63,2020-09-01 15:16:38.6158,-0.25,25
"Q","BZTF21",65,2020-09-01 15:21:14.8272,-0.25,25
"Q","BZTF21",67,2020-09-01 15:21:14.8272,-0.25,25
"Q","BZTF21",69,2020-09-01 15:21:18.7234,-0.25,25
"Q","BZTF21",71,2020-09-01 15:21:32.7393,-0.25,25
"Q","BZTF21",73,2020-09-01 15:22:16.7788,-0.25,25
"Q","BZTF21",75,2020-09-01 17:10:57.3496,-0.25,25
"Q","BZTF21",77,2020-09-01 17:20:49.238,-0.25,25
"Q","BZTF21",79,2020-09-01 19:22:32.0702,-0.25,25
"Q","BZTF21",81,2020-09-01 19:22:33.8169,-0.25,25
"Q","BZTF21",83,2020-09-01 19:22:52.877,-0.25,25
